dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_bilinear,desc,5,0.8266716714922033,0.028732849035499483,0.8281607486970854,0.01821750154264832,-0.0014890772048822276,0.023570299223744404,3,1.0,0.8693036404754138,-0.07843078812516362,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
bbbp,auc,fuse_bilinear,desc,5,0.9022201976358989,0.04058427983547454,0.9070845452879752,0.03347636892871406,-0.004864347652076062,0.017701743012556878,2,0.625,0.48807054462946703,-0.3411481607844562,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
clintox,auc,fuse_bilinear,desc,5,0.8197723143778444,0.14854932637996054,0.8410613269485883,0.13302724063519028,-0.021289012570743893,0.047950253092790274,1,0.3125,0.2852545786469219,-0.5511871373491761,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
bace,auc,fuse_bilinear,desc,5,0.8512888158051064,0.07663157084503029,0.8483419234271142,0.06777773522169107,0.002946892377992105,0.016165526566014655,4,0.625,0.6394372109470083,0.22631267577677014,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
sider,auc,fuse_bilinear,desc,5,0.6157610005261229,0.04903663273176994,0.6404723011043323,0.035499137867078694,-0.024711300578209427,0.042189784895679636,1,0.3125,0.17928674432847713,-0.7271478959393202,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
esol,rmse,fuse_bilinear,desc,5,0.8268378121305553,0.1405919530033133,0.771875735045334,0.1437133274778174,-0.05496207708522112,0.13400042540609297,1,0.3125,0.3184287352846484,-0.5092035460707456,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
lipophilicity,rmse,fuse_bilinear,desc,5,0.6841293675150674,0.029803088428615936,0.6768944042195973,0.014159642771877992,-0.0072349632954700205,0.03588178853511955,3,1.0,0.6055213886014625,-0.25032066817787624,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
freesolv,rmse,fuse_bilinear,desc,5,1.037237820557251,0.3661015883082635,0.9703414683452232,0.25427611681111045,-0.06689635221202775,0.3514844978111608,3,1.0,0.6252163418609566,-0.23628204508711093,inside noise,False,1.0,inside noise,8,1,-0.014261987933106957,0.0703125,0.0234375,0.0234375
