dataset,model,metric,thresholds,n_defaulted
tox21,rf,bal_acc,"[0.22499999999999998, 0.125, 0.175, 0.075, 0.2, 0.125, 0.05, 0.2, 0.05, 0.075, 0.2, 0.075]",0
tox21,gnn,bal_acc,"[0.775, 0.5499999999999999, 0.5499999999999999, 0.575, 0.6, 0.7, 0.49999999999999994, 0.525, 0.42499999999999993, 0.675, 0.65, 0.525]",0
tox21,trf,bal_acc,"[0.05, 0.05, 0.075, 0.05, 0.15, 0.05, 0.05, 0.175, 0.075, 0.05, 0.075, 0.05]",0
tox21,hybrid,bal_acc,"[0.625, 0.775, 0.575, 0.3, 0.5499999999999999, 0.49999999999999994, 0.475, 0.475, 0.475, 0.49999999999999994, 0.49999999999999994, 0.475]",0
tox21,ens,bal_acc,"[0.675, 0.49999999999999994, 0.49999999999999994, 0.44999999999999996, 0.575, 0.575, 0.575, 0.5499999999999999, 0.525, 0.625, 0.675, 0.5499999999999999]",0
bbbp,rf,bal_acc,[0.725],0
bbbp,gnn,bal_acc,[0.525],0
bbbp,trf,bal_acc,[0.475],0
bbbp,hybrid,bal_acc,[0.44999999999999996],0
bbbp,ens,bal_acc,[0.49999999999999994],0
clintox,rf,bal_acc,"[0.95, 0.075]",0
clintox,gnn,bal_acc,"[0.725, 0.175]",0
clintox,trf,bal_acc,"[0.825, 0.05]",0
clintox,hybrid,bal_acc,"[0.35, 0.7]",0
clintox,ens,bal_acc,"[0.875, 0.22499999999999998]",0
